solution,metric,direction,best,best_seed,determinism_note,mean,seeds,std,worst,worst_seed
solution_4_length_aware_completion,task1_same_canonical_miss_rate,higher_is_better,0.9226190476190477,9,varies_by_local_split_seed_model_itself_deterministic,0.9110378470911378,10,0.010505686083607902,0.8941176470588236,4
solution_4_length_aware_completion,task1_top1,higher_is_better,0.72,9,varies_by_local_split_seed_model_itself_deterministic,0.696,10,0.015937377450509212,0.665,6
solution_4_length_aware_completion,task1_top2,higher_is_better,0.9916666666666667,9,varies_by_local_split_seed_model_itself_deterministic,0.986,10,0.004229525846816515,0.975,2
solution_4_length_aware_completion,task1_top3,higher_is_better,0.9983333333333333,1,varies_by_local_split_seed_model_itself_deterministic,0.997,10,0.0012472191289246285,0.995,2
solution_4_length_aware_completion,task1_top5,higher_is_better,1.0,0,constant_across_split_seeds,1.0,10,0.0,1.0,0
solution_4_length_aware_completion,task2_block_accuracy,higher_is_better,0.7261184363789707,9,varies_by_local_split_seed_model_itself_deterministic,0.7171992864059797,10,0.0053297827536415345,0.7104347590842279,4
solution_4_length_aware_completion,task2_exact_match,higher_is_better,0.006666666666666667,4,varies_by_local_split_seed_model_itself_deterministic,0.0021666666666666666,10,0.0021147629234082536,0.0,6
solution_4_length_aware_completion,task2_normalized_edit_distance,lower_is_better,0.24136009640583692,2,varies_by_local_split_seed_model_itself_deterministic,0.24381638301543296,10,0.0016687982310937266,0.24639004581416707,0
solution_4_length_aware_completion,task2_token_accuracy,higher_is_better,0.4616448216127035,9,varies_by_local_split_seed_model_itself_deterministic,0.4487859100278744,10,0.006960672215210559,0.4398265683017496,3
solution_4_length_aware_completion,task3_accuracy,higher_is_better,1.0,0,constant_across_split_seeds,1.0,10,0.0,1.0,0
solution_4_length_aware_completion,task3_f1_valid,higher_is_better,1.0,0,constant_across_split_seeds,1.0,10,0.0,1.0,0
solution_4_length_aware_completion,task3_roc_auc_valid_probability,higher_is_better,1.0,0,constant_across_split_seeds,1.0,10,0.0,1.0,0
solution_4_length_aware_completion,task3_rule_attribution_accuracy,higher_is_better,1.0,0,constant_across_split_seeds,1.0,10,0.0,1.0,0
solution_5_tuned_rank_ensemble,ood_avg_top1,higher_is_better,0.7033333333333334,0,varies_by_local_split_seed_model_itself_deterministic,0.6635,10,0.017391728557628265,0.635,4
solution_5_tuned_rank_ensemble,ood_ic_mrr,higher_is_better,0.8166666666666665,7,varies_by_local_split_seed_model_itself_deterministic,0.7989166666666667,10,0.015122417134836577,0.7758333333333334,4
solution_5_tuned_rank_ensemble,ood_ic_top1,higher_is_better,0.66,7,varies_by_local_split_seed_model_itself_deterministic,0.626,10,0.027092434368288155,0.575,4
solution_5_tuned_rank_ensemble,ood_igbt_mrr,higher_is_better,0.8583333333333334,9,varies_by_local_split_seed_model_itself_deterministic,0.8291666666666667,10,0.014529663145135594,0.8091666666666666,8
solution_5_tuned_rank_ensemble,ood_igbt_top1,higher_is_better,0.735,9,varies_by_local_split_seed_model_itself_deterministic,0.6915,10,0.024499999999999977,0.655,8
solution_5_tuned_rank_ensemble,ood_mosfet_mrr,higher_is_better,0.87375,0,varies_by_local_split_seed_model_itself_deterministic,0.8355,10,0.01825247319619393,0.8095833333333333,7
