seed,family,scenario,task1_top1,task1_top2,task1_top3,task1_top5,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_token_accuracy,task2_block_accuracy,task3_accuracy,task3_rule_attribution_accuracy,exact_route_coverage,fit_valid_full_routes,fallback_training_sequences,valid_rows,anomaly_rows
7,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.755,0.975,1.0,1.0,0.8733333333333334,0.0,0.15325233442096856,0.5443943613360958,0.7478382241705679,1.0,1.0,0.0,0,8209,200,200
7,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
7,THEFIFTHFAMILY,decoupled_known_fallback_only,0.4,0.49,0.5,0.51,0.4503333333333333,0.0,0.5569489776669131,0.08544571312320312,0.26588366733713203,1.0,1.0,0.0,0,7009,200,200
7,THEFIFTHFAMILY,decoupled_visible_family_routes,0.705,0.93,1.0,1.0,0.8408333333333333,0.0,0.1523209137495173,0.4872843226584295,0.7168309216271601,1.0,1.0,0.0,160,7169,200,200
7,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.725,0.99,1.0,1.0,0.8608333333333333,0.0,0.1562910330244504,0.5738995929999903,0.7719706688724022,1.0,1.0,0.0,0,8209,200,200
8,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
8,THEFOURTHFAMILY,decoupled_known_fallback_only,0.425,0.495,0.495,0.5,0.461,0.0,0.5980089853882983,0.08125930865721563,0.24218155357536447,1.0,1.0,0.0,0,7009,200,200
8,THEFOURTHFAMILY,decoupled_visible_family_routes,0.795,0.96,1.0,1.0,0.8908333333333335,0.0,0.15850618930414512,0.5499014931197519,0.749834310479442,1.0,1.0,0.0,160,7169,200,200
8,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.805,0.97,1.0,1.0,0.8975,0.0,0.15942281637831868,0.5860243783962185,0.7767475410581606,1.0,1.0,0.0,0,8209,200,200
8,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
8,THEFIFTHFAMILY,decoupled_known_fallback_only,0.41,0.48,0.48,0.5,0.44900000000000007,0.0,0.5843787674779755,0.07784984966922237,0.251121871395253,1.0,1.0,0.0,0,7009,200,200
8,THEFIFTHFAMILY,decoupled_visible_family_routes,0.725,0.95,1.0,1.0,0.8541666666666667,0.0,0.15790063249592667,0.5452085157229325,0.7503355704234479,1.0,1.0,0.0,160,7169,200,200
8,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.74,0.95,1.0,1.0,0.8616666666666668,0.0,0.15150460802555812,0.5751114805108403,0.767455801138821,1.0,1.0,0.0,0,8209,200,200
9,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
9,THEFOURTHFAMILY,decoupled_known_fallback_only,0.43,0.475,0.48,0.48,0.4541666666666667,0.0,0.5767778212774747,0.08242054472228941,0.2590259248456129,1.0,1.0,0.0,0,7009,200,200
9,THEFOURTHFAMILY,decoupled_visible_family_routes,0.855,0.965,1.0,1.0,0.9216666666666665,0.0,0.15381162869231738,0.5671177580412552,0.7660222703303651,1.0,1.0,0.0,160,7169,200,200
9,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.815,0.99,1.0,1.0,0.9058333333333333,0.0,0.14971748962449355,0.6145828430185274,0.7964158895272734,1.0,1.0,0.0,0,8209,200,200
9,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
9,THEFIFTHFAMILY,decoupled_known_fallback_only,0.42,0.51,0.515,0.52,0.4676666666666667,0.0,0.6015108958706988,0.0814432910063185,0.24731789906630203,1.0,1.0,0.0,0,7009,200,200
9,THEFIFTHFAMILY,decoupled_visible_family_routes,0.725,0.95,1.0,1.0,0.8541666666666667,0.0,0.15604539454232216,0.5289042756112754,0.7344658552130255,1.0,1.0,0.0,160,7169,200,200
9,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.77,0.965,1.0,1.0,0.8791666666666665,0.0,0.15092932228627673,0.5501725678967654,0.753150188529482,1.0,1.0,0.0,0,8209,200,200
