train_family_count,model,validation_family,task1_top1,task1_top3,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_block_accuracy,task3_accuracy,family_specific_next_step_share,family_specific_task1_top1,family_specific_task1_top3
5,valid_lattice_template_retrieval,SYNTHFAMILY105,0.875,1.0,0.9375,0.0,0.09953464062397802,0.9153197826190366,1.0,0.03125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY106,0.90625,1.0,0.953125,0.0,0.11780801924607229,0.9227612679880823,1.0,0.0625,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY107,0.90625,1.0,0.9479166666666666,0.0,0.10963452832724847,0.8895686062700383,1.0,0.03125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY108,0.9375,1.0,0.9635416666666667,0.0,0.12291358041279715,0.9266334161197635,1.0,0.125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY109,0.84375,1.0,0.921875,0.0625,0.10563029057069782,0.8875535116880995,1.0,0.03125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY110,0.78125,1.0,0.8854166666666666,0.0,0.09801634075756965,0.9144050908223661,1.0,0.125,1.0,1.0
10,raw_exact_retrieval,SYNTHFAMILY101,0.625,0.71875,0.671875,0.0,0.24240562330974946,0.6268409708920291,1.0,0.03125,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY102,0.625,0.71875,0.671875,0.0,0.2623576456350409,0.5315281422581659,1.0,0.0,nan,nan
10,raw_exact_retrieval,SYNTHFAMILY103,0.5625,0.75,0.65625,0.0,0.24756443240714568,0.6262522160375168,1.0,0.0625,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY104,0.75,0.78125,0.765625,0.0,0.2267730046390879,0.664074456816753,1.0,0.0625,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY105,0.6875,0.84375,0.765625,0.0,0.21192519782677996,0.6491123738827506,1.0,0.03125,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY106,0.53125,0.78125,0.65625,0.0,0.25363403275735275,0.6926275563835154,1.0,0.0625,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY107,0.65625,0.78125,0.71875,0.0,0.2385923016851328,0.6502239511516897,1.0,0.03125,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY108,0.59375,0.6875,0.640625,0.0,0.25402312267260385,0.6722990352793705,1.0,0.125,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY109,0.6875,0.8125,0.75,0.03125,0.20645030549818386,0.6212610700078127,1.0,0.03125,0.0,0.0
10,raw_exact_retrieval,SYNTHFAMILY110,0.46875,0.65625,0.5625,0.0,0.2644389904090407,0.6161685199344303,1.0,0.125,0.0,0.0
10,template_adapted_retrieval,SYNTHFAMILY101,0.78125,1.0,0.8802083333333333,0.0,0.15366812510786748,0.7421347108553541,1.0,0.03125,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY102,0.65625,1.0,0.8229166666666666,0.0,0.1511286818105607,0.7436983358398856,1.0,0.0,nan,nan
10,template_adapted_retrieval,SYNTHFAMILY103,0.8125,1.0,0.90625,0.0,0.15533432098138583,0.7592954567729929,1.0,0.0625,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY104,0.8125,1.0,0.9010416666666666,0.0,0.1514119962758343,0.7631149155675823,1.0,0.0625,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY105,0.75,1.0,0.875,0.0,0.14802733280994,0.7353895045879294,1.0,0.03125,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY106,0.78125,1.0,0.890625,0.0,0.1640963067607052,0.7582300629182201,1.0,0.0625,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY107,0.875,1.0,0.9375,0.0,0.1524156732305296,0.753312615866469,1.0,0.03125,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY108,0.78125,1.0,0.8854166666666667,0.0,0.16695680000892552,0.7909728641022362,1.0,0.125,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY109,0.875,1.0,0.9322916666666667,0.0,0.15594814964529466,0.7203204600524594,1.0,0.03125,1.0,1.0
10,template_adapted_retrieval,SYNTHFAMILY110,0.65625,1.0,0.8177083333333333,0.0,0.14983827734664712,0.7513267003997838,1.0,0.125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY101,0.84375,1.0,0.9114583333333333,0.0,0.10149020808984911,0.9509112476998134,1.0,0.03125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY102,0.84375,1.0,0.921875,0.0,0.11003446341662819,0.8831060873952977,1.0,0.0,nan,nan
10,valid_lattice_template_retrieval,SYNTHFAMILY103,0.96875,1.0,0.984375,0.0,0.1114223637626083,0.8598154133415582,1.0,0.0625,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY104,1.0,1.0,1.0,0.0,0.09242460682524319,0.9119516613749133,1.0,0.0625,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY105,0.90625,1.0,0.953125,0.0,0.09363380912549533,0.9364007987640908,1.0,0.03125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY106,0.90625,1.0,0.953125,0.0,0.11775761602026584,0.9227612679880823,1.0,0.0625,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY107,0.9375,1.0,0.96875,0.0,0.11625379288089602,0.9292872382880629,1.0,0.03125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY108,0.9375,1.0,0.96875,0.0,0.11891097130463776,0.9514495925903517,1.0,0.125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY109,0.875,1.0,0.9322916666666667,0.0,0.11075434310022365,0.8875535116880995,1.0,0.03125,1.0,1.0
10,valid_lattice_template_retrieval,SYNTHFAMILY110,0.8125,1.0,0.9010416666666666,0.0,0.0903076481307707,0.9192095357937421,1.0,0.125,1.0,1.0
20,raw_exact_retrieval,SYNTHFAMILY101,0.625,0.71875,0.671875,0.0,0.24464625195588444,0.6081625164545515,1.0,0.03125,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY102,0.53125,0.71875,0.625,0.0,0.2609986520629812,0.5407705351213573,1.0,0.0,nan,nan
20,raw_exact_retrieval,SYNTHFAMILY103,0.625,0.75,0.6875,0.0,0.24616700526689067,0.634552690039835,1.0,0.0625,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY104,0.6875,0.78125,0.734375,0.0,0.2291058288969688,0.6622102884972877,1.0,0.0625,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY105,0.65625,0.84375,0.75,0.0,0.21604528005419468,0.6387284022980937,1.0,0.03125,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY106,0.46875,0.78125,0.625,0.0,0.2550349492976459,0.6844020562105833,1.0,0.0625,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY107,0.65625,0.78125,0.71875,0.0,0.23457091490461413,0.637170315719022,1.0,0.03125,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY108,0.625,0.6875,0.65625,0.0,0.2477096918750649,0.6665767867025204,1.0,0.125,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY109,0.71875,0.8125,0.765625,0.03125,0.19674068273900408,0.6589010475268949,1.0,0.03125,0.0,0.0
20,raw_exact_retrieval,SYNTHFAMILY110,0.46875,0.65625,0.5625,0.0,0.2627545055567551,0.6063029734783988,1.0,0.125,0.0,0.0
20,template_adapted_retrieval,SYNTHFAMILY101,0.8125,1.0,0.8958333333333333,0.0,0.1549746597297751,0.7887381654980345,1.0,0.03125,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY102,0.71875,1.0,0.859375,0.0,0.1486624711374551,0.7575877621305743,1.0,0.0,nan,nan
20,template_adapted_retrieval,SYNTHFAMILY103,0.78125,1.0,0.890625,0.0,0.15389514162529852,0.7486415925010786,1.0,0.0625,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY104,0.84375,1.0,0.9114583333333334,0.0,0.14748334141322272,0.7700129364364559,1.0,0.0625,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY105,0.65625,1.0,0.828125,0.0,0.1518476698262639,0.7541920584751494,1.0,0.03125,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY106,0.71875,1.0,0.8541666666666667,0.0,0.1587774577036156,0.7432693895183445,1.0,0.0625,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY107,0.84375,1.0,0.921875,0.0,0.1519245218213093,0.7576469629635783,1.0,0.03125,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY108,0.71875,1.0,0.8541666666666667,0.0,0.1641805367665807,0.764590143123458,1.0,0.125,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY109,0.84375,1.0,0.9166666666666667,0.0,0.1501230326360412,0.6975411650984681,1.0,0.03125,1.0,1.0
20,template_adapted_retrieval,SYNTHFAMILY110,0.625,1.0,0.8072916666666667,0.0,0.155388855495451,0.7182170404912883,1.0,0.125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY101,0.875,1.0,0.9270833333333333,0.0,0.10279915051010079,0.9496023052795617,1.0,0.03125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY102,0.875,1.0,0.9375,0.0,0.10630386161469824,0.8892561982469522,1.0,0.0,nan,nan
